Котельникова аллея, д. 6 корп. 1 литера А;"ООО ""Стройдом""";15.04.2025
Софьи Ковалевской ул., д. 5 корп. 4 литера А;"ООО ""Стройдом""";15.04.2025
Софьи Ковалевской ул., д. 5 корп. 5 литера А;"ООО ""Стройдом""";15.04.2025
Суздальский пр., д. 105 корп. 1 литера А;"ООО ""Стройдом""";15.04.2025
Дачный пр., д. 32 литера А;"ООО ""РСК ""Атташе""";15.04.2025
Народного Ополчения пр., д. 121 литера А;"ООО ""РСК ""Атташе""";15.04.2025
Лёни Голикова ул., д. 114 корп. 2 литера А;"ООО ""РСК ""Атташе""";15.04.2025
Народного Ополчения пр., д. 105 литера А;"ООО ""РСК ""Атташе""";15.04.2025
Народного Ополчения пр., д. 113 литера А;"ООО ""РСК ""Атташе""";15.04.2025
Танкиста Хрустицкого ул., д. 17 литера А;"ООО ""РСК ""Атташе""";15.04.2025
Танкиста Хрустицкого ул., д. 19 литера А;"ООО ""РСК ""Атташе""";15.04.2025
Пр. Славы, д. 29 литера А;"ООО ""СмартКомм""";15.04.2025
Белы Куна ул., д. 22 корп. 5 литера А;"ООО ""СмартКомм""";15.04.2025
Белы Куна ул., д. 26 корп. 3 литера А;"ООО ""СмартКомм""";15.04.2025
Турку ул., д. 8 корп. 2 литера А;"ООО ""СмартКомм""";15.04.2025
Турку ул., д. 8 корп. 5 литера А;"ООО ""СмартКомм""";15.04.2025
Пр. Славы, д. 38 корп. 2 литера А;"ООО ""СмартКомм""";15.04.2025
Пр. Славы, д. 39 литера А;"ООО ""СмартКомм""";15.04.2025
Пр. Славы, д. 40 корп. 4 литера А;"ООО ""СмартКомм""";15.04.2025
2-я Комсомольская ул., д. 43 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
2-я Комсомольская ул., д. 45 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
2-я Комсомольская ул., д. 47 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
2-я Комсомольская ул., д. 49 корп. 1 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
2-я Комсомольская ул., д. 57 корп. 2 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
Пограничника Гарькавого ул., д. 37 корп. 1 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
Пограничника Гарькавого ул., д. 41 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
Летчика Пилютова ул., д. 40 корп. 1 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
Подводника Кузьмина ул., д. 13 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
Ветеранов пр., д. 4 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
Ветеранов пр., д. 42 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
Лёни Голикова ул., д. 19 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
Лёни Голикова ул., д. 37 корп. 2 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
Лёни Голикова ул., д. 37 корп. 4 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
Лёни Голикова ул., д. 39 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
Новаторов Бульвар, д. 44 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
Народного Ополчения пр., д. 145 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
Белы Куна ул., д. 26 корп. 5 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
Бухарестская ул., д. 94 корп. 2 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
Карбышева ул., д. 6 корп. 1 литера Р;"ООО ""К-Ресурс С-З""";15.04.2025
Руставели ул., д. 10 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
Софьи Ковалевской ул., д. 11 корп. 4 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
Ланская ул., д. 10 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
Матроса Железняка ул., д. 49 литера А;"ООО ""К-Ресурс С-З""";15.04.2025
Крыленко ул., д. 11 корп. 1 литера В;"ООО ""К-Ресурс С-З""";15.04.2025
